,,Red,,Consults,Green,,Consults,White,,Consults,Brown,,Consults,Yellow,,Consults,,,
,,Total,New,Total,Total,New,Total,Total,New,Total,Total,New,Total,Total,New,Total,total census,total new,total consults
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,0,0
