1,,Red,,Consults,Green,,Consults,White,,Consults,Brown,,Consults,Yellow,,Consults,,,
,,Total,New,Total,Total,New,Total,Total,New,Total,Total,New,Total,Total,New,Total,total census,total new,total consults
Sunday,6/20/2021,13,0,0,,,,14,5,2,,,,,,,27,5,2
Monday,6/21/2021,13,2,0,,,,13,0,2,,,,,,,26,2,2
Tuesday,6/22/2021,16,4,0,13,1,,15,4,0,,,,,,,44,9,0
Wednesday,6/23/2021,15,1,0,11,4,0,10,3,1,,,,,,,36,8,1
Thursday,6/24/2021,13,3,0,12,4,0,9,1,0,,,,,,,34,8,0
Friday,6/25/2021,12,1,,11,2,0,14,7,0,,,,,,,37,10,0
Saturday,6/26/2021,11,2,0,11,1,0,12,2,0,,,,,,,34,5,0
Sunday,6/27/2021,16,4,0,12,4,0,9,2,0,,,,,,,37,10,0
Monday,6/28/2021,,,,12,4,0,13,4,0,,,,,,,25,8,0
Tuesday,6/29/2021,,,,12,5,0,15,4,0,,,,,,,27,9,0
Wednesday,6/30/2021,,,,7,1,0,12,4,0,,,,,,,19,5,0
,,,,,,,,12,2,0,,,,,,,,,
,,,,,,,,12,3,0,,,,,,,,,
,,,,,,,,14,5,0,,,,,,,,,
,,,,,,,,12,2,0,,,,,,,,,
